KATEGORIA,TREŚĆ PYTANIA,PIERWSZA,DRUGA,TRZECIA,CZWARTA,NAZWISKO AUTORA PYTANIA,IMIĘ AUTORA PYTANIA,,,,,,,,,,,,,,,,,,,CZWARTA ODPOWIEDŹ (NIEPRAWIDŁOWA)
100,Jak miał na imię genialny fizyk Einstein?,Albert,Aaron,Anthony,Andrew,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Andrew
100,Kto był oficjalnym wynalazcą żarówki?,Thomas Edison,Aleksander Graham Bell,Nicola Tesla,Alan Turing,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Alan Turing
100,Który zespół został mistrzem Polski w piłce nożnej mężczyzn w sezonie 2021/2022?,Lech Poznań,Raków Częstochowa,Legia Warszawa,Pogoń Szczecin,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Pogoń Szczecin
100,W Polsce w standardowych gniazdkach elektrycznych płynie prąd o napięciu:,230V,360V,110V,12V,Herman,Andrzej,,,,,,,,,,,,,,,,,,,12V
100,Jakie miasto jest stolicą Słowacji?,Bratysława,Preszów,Koszyce,Poprad,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Poprad
100,Najpopularniejszy system operacyjny dla komputerów - Windows - to produkt firmy:,Microsoft,Apple,Samsung,IBM,Herman,Andrzej,,,,,,,,,,,,,,,,,,,IBM
100,Czym charakteryzuje się rok przestępny?,jest dłuższy o 1 dzień,występuje co 3 lata,jest krótszy o 1 dzień,lipiec jest dłuższy,Herman,Andrzej,,,,,,,,,,,,,,,,,,,lipiec jest dłuższy
100,Woda to związek?,wodoru z tlenem,azotu z tlenem,dwutlenku węgla z wodorem,chloru z tlenem,Herman,Andrzej,,,,,,,,,,,,,,,,,,,chloru z tlenem
100,Znany producent elektroniki - firma Sony pochodzi z:,Japonii,Korei Południowej,Tajlandii,Chin,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Chin
100,Logo firmy Apple przedstawia:,nadgryzione jabłko,całe jabłko z ogonkiem,nadgryzioną gruszkę,krzak jabłoni,Herman,Andrzej,,,,,,,,,,,,,,,,,,,krzak jabłoni
100,W którym dniu wybuchła II wojna światowa?,1 września 1939 r.,17 września 1939 r.,9 maja 1945 r.,11 listopada 1918 r.,Herman,Andrzej,,,,,,,,,,,,,,,,,,,11 listopada 1918 r.
100,Kulturę jakiego kraju poznają studenci bohemistyki?,Czech,Włoch,Belgii,Hiszpanii,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
100,Jak nazywają się góry leżące na granicy Francji i Hiszpanii?,Pireneje,Alpy,Pirin,Valamara,Kłodawska,Joanna,,,,,,,,,,,,,,,,,,,
200,"Jeden hektar pola, to?",kwadrat o bokach 100m x 100m,koło o średnicy 1000 m,kwadrat o bokach 1000m x 1000m,prostokąt o bokach 1000m x 100m,Herman,Andrzej,,,,,,,,,,,,,,,,,,,prostokąt o bokach 1000m x 100m
200,Robert Lewandowski nigdy nie grał w zespole:,Manchesteru United,Znicza Pruszków,FC Barcelony,Borrusii Dortmund,Herman,Andrzej,,,,,,,,,,,,,,,,,,,Borrusii Dortmund
200,Na tablicy Mendelejewa symbolem P oznaczony jest ...,fosfor,azot,potas,hel,Herman,Andrzej,,,,,,,,,,,,,,,,,,,hel
200,Podaj dokładną datę Bitwy pod Grunwaldem,15 lipca 1410 r.,15 lipca 1420 r.,15 sierpnia 1410 r.,10 lipca 1410 r.,Herman,Andrzej,,,,,,,,,,,,,,,,,,,10 lipca 1410 r.
200,W którym roku Polska została członkiem NATO?,1999,2000,1997,2010,Herman,Andrzej,,,,,,,,,,,,,,,,,,,2010
